loan_amnt,funded_amnt,funded_amnt_inv,term,home_ownership,issue_d
5000,5000,4975,36 months,RENT,Dec-2011
2500,2500,2500,60 months,RENT,Dec-2011
2400,2400,2400,36 months,RENT,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
3000,3000,3000,60 months,RENT,Dec-2011
5000,5000,5000,36 months,RENT,Dec-2011
7000,7000,7000,60 months,RENT,Dec-2011
3000,3000,3000,36 months,RENT,Dec-2011
5600,5600,5600,60 months,OWN,Dec-2011
5375,5375,5350,60 months,RENT,Dec-2011
6500,6500,6500,60 months,OWN,Dec-2011
12000,12000,12000,36 months,OWN,Dec-2011
9000,9000,9000,36 months,RENT,Dec-2011
3000,3000,3000,36 months,RENT,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
1000,1000,1000,36 months,RENT,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
3600,3600,3600,36 months,MORTGAGE,Dec-2011
6000,6000,6000,36 months,MORTGAGE,Dec-2011
9200,9200,9200,36 months,RENT,Dec-2011
20250,20250,19142.161077147413,60 months,RENT,Dec-2011
21000,21000,21000,36 months,RENT,Dec-2011
10000,10000,10000,36 months,OWN,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
6000,6000,6000,36 months,RENT,Dec-2011
15000,15000,15000,36 months,MORTGAGE,Dec-2011
15000,15000,8725,36 months,RENT,Dec-2011
5000,5000,5000,60 months,RENT,Dec-2011
4000,4000,4000,36 months,MORTGAGE,Dec-2011
8500,8500,8500,36 months,RENT,Dec-2011
4375,4375,4375,36 months,MORTGAGE,Dec-2011
31825,31825,31825,36 months,MORTGAGE,Dec-2011
10000,10000,9975,60 months,RENT,Dec-2011
5000,5000,5000,36 months,RENT,Dec-2011
7000,7000,7000,36 months,RENT,Dec-2011
12400,12400,12400,36 months,RENT,Dec-2011
10800,10800,10800,36 months,RENT,Dec-2011
15000,15000,15000,36 months,RENT,Dec-2011
6000,6000,6000,36 months,RENT,Dec-2011
12500,12500,12475,60 months,RENT,Dec-2011
9600,9600,9600,36 months,RENT,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
3000,3000,3000,36 months,MORTGAGE,Dec-2011
4400,4400,4400,36 months,RENT,Dec-2011
6000,6000,6000,36 months,MORTGAGE,Dec-2011
14000,14000,14000,36 months,RENT,Dec-2011
5000,5000,5000,36 months,MORTGAGE,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
11000,11000,11000,36 months,RENT,Dec-2011
15000,15000,15000,36 months,MORTGAGE,Dec-2011
25600,25600,25350,36 months,RENT,Dec-2011
7000,7000,7000,36 months,RENT,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
21000,21000,20975,60 months,RENT,Dec-2011
16000,16000,15950,60 months,RENT,Dec-2011
10000,10000,10000,36 months,OWN,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
7100,7100,7100,36 months,MORTGAGE,Dec-2011
13000,13000,13000,60 months,MORTGAGE,Dec-2011
17500,8950,8925,60 months,RENT,Dec-2011
17675,17675,17675,60 months,RENT,Dec-2011
8000,8000,8000,36 months,RENT,Dec-2011
10000,10000,9975,60 months,RENT,Dec-2011
3500,3500,3500,36 months,MORTGAGE,Dec-2011
12500,8925,8925,60 months,RENT,Dec-2011
16425,16425,16425,36 months,RENT,Dec-2011
8200,8200,8200,60 months,RENT,Dec-2011
15000,15000,15000,36 months,OWN,Dec-2011
20975,13575,13550,60 months,MORTGAGE,Dec-2011
6400,6400,6400,36 months,RENT,Dec-2011
3000,3000,3000,36 months,RENT,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
14400,14400,14400,36 months,OWN,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
11000,11000,11000,36 months,MORTGAGE,Dec-2011
7250,7200,7175,60 months,RENT,Dec-2011
15000,15000,15000,36 months,MORTGAGE,Dec-2011
18000,18000,18000,60 months,MORTGAGE,Dec-2011
35000,22075,22050,60 months,MORTGAGE,Dec-2011
10000,10000,10000,36 months,RENT,Dec-2011
11800,11800,11800,36 months,RENT,Dec-2011
4500,4500,4500,36 months,RENT,Dec-2011
7000,7000,7000,36 months,RENT,Dec-2011
9200,9200,9200,36 months,RENT,Dec-2011
14000,14000,13975,60 months,RENT,Dec-2011
4500,4500,4475,60 months,MORTGAGE,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
12000,12000,12000,36 months,RENT,Dec-2011
7000,7000,7000,36 months,MORTGAGE,Dec-2011
8200,8200,8200,60 months,RENT,Dec-2011
10500,10500,10500,36 months,RENT,Dec-2011
7000,7000,7000,36 months,OWN,Dec-2011
15300,15300,15275,60 months,RENT,Dec-2011
20000,12800,12775,60 months,MORTGAGE,Dec-2011
17500,17500,17500,60 months,MORTGAGE,Dec-2011
3500,3500,3500,36 months,MORTGAGE,Dec-2011
6000,6000,6000,60 months,RENT,Dec-2011
6200,6200,6200,36 months,RENT,Dec-2011
16000,16000,16000,60 months,RENT,Dec-2011
6000,6000,6000,36 months,OWN,Dec-2011
7200,7200,7200,36 months,RENT,Dec-2011
9500,9500,9500,36 months,MORTGAGE,Dec-2011
18825,18825,18800,60 months,RENT,Dec-2011
24000,24000,24000,36 months,RENT,Dec-2011
6000,6000,6000,36 months,RENT,Dec-2011
6000,6000,6000,36 months,RENT,Dec-2011
2100,2100,2100,36 months,MORTGAGE,Dec-2011
5500,5500,5500,36 months,MORTGAGE,Dec-2011
11000,11000,11000,36 months,OWN,Dec-2011
26800,26800,26800,60 months,MORTGAGE,Dec-2011
